name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,x_pixel,y_pixel,incident,incident_dist,incident_latitude,incident_longitude,check
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20200930,218,859,Candy Fire,27.25909858,33.764357,-117.374419,1
Mesa Grande,33.188869,-116.760651,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20180806,1852,1119,Casner Fire,9.107538174,33.05737,-116.77154,1
Santa Ysabel,33.138256,-116.617058,5500,vo,w,"[-117.1458095636703, 33.13]","[-116.98751575248369, 32.81063515002747]","[-116.99025437801869, 33.44819636750495]",1,20180806,280,570,Casner Fire,10.54460539,33.05737,-116.77154,1
Los Pinos,32.734673,-116.577751,4800,pi,e,"[-116.04659616305612, 32.73]","[-116.20147379070163, 33.04822561243623]","[-116.20415877907386, 32.41062340363592]",5,20171021,1537,721,Church Fire,13.25373042,32.64962,-116.37345,1
Mt. Woodson,33.0087,-116.9709,2800,wc,e,"[-116.43582502218713, 33.0087]","[-116.59117331258486, 33.326905257636774]","[-116.59389556804973, 32.68933158235236]",14,20180720,846,1133,Cinnamon Fire,10.88270335,33.04898,-116.78928,1
Black Mountain,32.98166822,-117.1164071,1600,bl,n,"[-117.12, 33.43082361873078]","[-117.49960229720907, 33.298207358327076]","[-116.74039770279094, 33.298207358327076]",3,20180813,1825,809,Cloverdale Fire,9.597911797,33.0971179,-117.0242529,1
Boucher Hill,33.3346,-116.9198,5500,bh,s,"[-116.9198, 32.8837694047889]","[-116.54141478414488, 33.01524117811553]","[-117.29818521585511, 33.01524117811554]",4,20180813,1219,908,Cloverdale Fire,17.48406823,33.0971179,-117.0242529,1
Mesa Grande,33.188869,-116.760651,4280,mg,w,"[-117.29716237260907, 33.188]","[-117.13876133217558, 32.86863685756762]","[-117.14150781766253, 33.50619211003771]",3,20180813,1039,1136,Cloverdale Fire,16.51518313,33.0971179,-117.0242529,1
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20191030,1133,1306,Copper Fire,2.169294715,32.564583,-116.834583,1
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20190728,342,1175,Dehesa Fire,4.922036805,32.767649,-116.796032,1
Otay Mountain,32.5948,-116.8447,3565,om,n,"[-116.8447, 33.04565148266326]","[-117.22264979421115, 32.9130354508156]","[-116.46675020578886, 32.913035450815606]",10,20190728,1361,1078,Dehesa Fire,12.27352032,32.767649,-116.796032,1
Los Pinos,32.734673,-116.577751,4800,pi,w,"[-117.11340383694387, 32.73]","[-116.95584122092613, 32.41062340363591]","[-116.95852620929837, 33.04822561243623]",6,20190924,1271,752,Dehesa Fire ,13.81063324,32.787656,-116.806941,1
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20190924,692,1130,Dehesa Fire ,6.441312768,32.787656,-116.806941,1
Mt. Laguna,32.8922,-116.4209,6300,ml,w,"[-116.95527360858537, 32.8922]","[-116.79741623581543, 32.57282816036067]","[-116.80012285506182, 33.21041377829245]",4,20190924,746,880,Dehesa Fire ,23.54560157,32.787656,-116.806941,1
Mt. Laguna Observatory,32.8397,-116.4265,6180,mlo,w,"[-116.96055886345307, 32.8397]","[-116.80279715497225, 32.52032661974371]","[-116.80549675521806, 33.15791761239618]",2,20190924,851,828,Dehesa Fire ,22.3824363,32.787656,-116.806941,1
Mt. San Miguel,32.696804,-116.936363,2550,sm,n,"[-116.94, 33.150843889404484]","[-117.31839797267894, 33.01822779754]","[-116.56160202732104, 33.01822779754]",7,20190924,1664,616,Dehesa Fire ,9.796715948,32.787656,-116.806941,1
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20170519,711,846,Deluz Fire,7.703302671,33.3906,-117.32348,1
Mt. Laguna Observatory,32.8397,-116.4265,6180,mlo,s,"[-116.4265, 32.38883368733383]","[-116.05020284502775, 32.52032661974371]","[-116.80279715497225, 32.52032661974371]",11,20170821,1114,847,Eclipse Fire,13.10579991,32.65003,-116.42907,1
Santiago Peak,33.71117247,-117.534115,5700,stgo,s,"[0, 0]","[0, 0]","[0, 0]",3,20180602,2740,1015,Ethanac Fire,14.64971525,33.742,-117.28189,0
Santiago Peak,33.71117247,-117.534115,5700,stgo,w,"[0, 0]","[0, 0]","[0, 0]",2,20180602,433,1156,Ethanac Fire,14.64971525,33.742,-117.28189,0
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20160718,789,513,Feather Fire,18.02733339,32.9612,-116.7945,1
Mesa Grande,33.188869,-116.760651,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20160718,536,565,Feather Fire,15.85203734,32.9612,-116.7945,1
