,camera_id,lat,lat_decimals,long,camera_name,hpweren_camera_description,lat_adjusted,long_adjusted,code,dir,c_lat,c_long
61,hpwren19_west,33.0087,4,-116.9709,wc-w-mobo-c-deg,Mt. Woodson,33.00873795,-116.9709795,wc,w,33.00904878,-116.9734538
62,hpwren20_north,32.5948,4,-116.8447,om-n-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,n,32.60237051,-116.844502
63,hpwren20_east,32.5948,4,-116.8447,om-e-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,e,32.59481057,-116.836819
64,hpwren20_south,32.5948,4,-116.8447,om-s-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,s,32.59424175,-116.8446861
65,hpwren20_west,32.5948,4,-116.8447,om-w-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,w,32.59483593,-116.8517775
66,hpwren21_north,33.4008,4,-117.1905,rm-n-mobo-c,Red Mountain,33.4008,-117.1905,rm,n,33.41066605,-117.1908729
67,hpwren21_east,33.4008,4,-117.1905,rm-e-mobo-c,Red Mountain,33.4008,-117.1905,rm,e,33.40076747,-117.1862292
68,hpwren21_south,33.4008,4,-117.1905,rm-s-mobo-c,Red Mountain,33.4008,-117.1905,rm,s,33.39112605,-117.1903989
69,hpwren21_west,33.4008,4,-117.1905,rm-w-mobo-c,Red Mountain,33.4008,-117.1905,rm,w,33.40058484,-117.2004684
70,hpwren22_north,33.4314,4,-117.5974,sclm-n-mobo-c,San Clemente,33.4314,-117.5974,sclm,n,33.44314201,-117.5928409
71,hpwren22_east,33.4314,4,-117.5974,sclm-e-mobo-c,San Clemente,33.4314,-117.5974,sclm,e,33.43119726,-117.5858301
72,hpwren22_south,33.4314,4,-117.5974,sclm-s-mobo-c,San Clemente,33.4314,-117.5974,sclm,s,33.42991998,-117.5974459
73,hpwren22_west,33.4314,4,-117.5974,sclm-w-mobo-c,San Clemente,33.4314,-117.5974,sclm,w,33.43994077,-117.6351622
74,hpwren23_east,32.88,2,-117.24,sdsc-e-mobo-c,San Diego Supercomputer Center,32.88448394,-117.2397484,sdsc,e,,
75,hpwren24_north,33.5029,4,-117.6031,sjh-n-mobo-c,San Juan Hills,33.5029,-117.6031,sjh,n,,
76,hpwren24_east,33.5029,4,-117.6031,sjh-e-mobo-c,San Juan Hills,33.5029,-117.6031,sjh,e,,
77,hpwren24_south,33.5029,4,-117.6031,sjh-s-mobo-c,San Juan Hills,33.5029,-117.6031,sjh,s,,
78,hpwren24_west,33.5029,4,-117.6031,sjh-w-mobo-c,San Juan Hills,33.5029,-117.6031,sjh,w,,
79,hpwren25_north,33.13,2,-116.61,vo-n-mobo-c,Santa Ysabel,33.138256,-116.617058,vo,n,,
