camera_id,image_id,lat,long,direction
hpwren28_south,tp-s-mobo-c,33.52353103,-116.4257027,south
hpwren28_west,tp-w-mobo-c,33.52353103,-116.4257027,west
hpwren29_north,starr-n-mobo-c,33.61244314,-117.5486414,north
hpwren29_east,starr-e-mobo-c,33.61244314,-117.5486414,east
hpwren29_south,starr-s-mobo-c,33.61244314,-117.5486414,south
hpwren29_west,starr-w-mobo-c,33.61244314,-117.5486414,west
hpwren30_north,marconi-n-mobo-c,33.51912725,-117.480907,north
hpwren30_east,marconi-e-mobo-c,33.51912725,-117.480907,east
hpwren30_south,marconi-s-mobo-c,33.51912725,-117.480907,south
hpwren30_west,marconi-w-mobo-c,33.51912725,-117.480907,west
hpwren_missing1_north,buff-n-mobo-c,33.42835888,-117.3825282,north
hpwren_missing1_east,buff-e-mobo-c,33.42835888,-117.3825282,east
hpwren_missing1_south,buff-s-mobo-c,33.42835888,-117.3825282,south
hpwren_missing1_west,buff-w-mobo-c,33.42835888,-117.3825282,west
hpwren_missing2_north,ch-n-mobo-c,33.11062723,-117.1529606,north
hpwren_missing2_east,ch-e-mobo-c,33.11062723,-117.1529606,east
hpwren_missing2_south,ch-s-mobo-c,33.11062723,-117.1529606,south
hpwren_missing2_west,ch-w-mobo-c,33.11062723,-117.1529606,west
hpwren18_north,wilson-n-mobo-c.html,34.22449951,-118.0586478,north
hpwren18_east,wilson-e-mobo-c.html,34.22449951,-118.0586478,east
hpwren18_south,wilson-s-mobo-c.html,34.22449951,-118.0586478,south
hpwren18_west,wilson-w-mobo-c.html,34.22449951,-118.0586478,west
hpwren_missing3_north,rdd-n-mobo-c,33.09383414,-117.1210542,north
hpwren_missing3_east,rdd-e-mobo-c,33.09383414,-117.1210542,east
hpwren_missing3_south,rdd-s-mobo-c,33.09383414,-117.1210542,south
hpwren_missing3_west,rdd-w-mobo-c,33.09383414,-117.1210542,west
hpwren_missing4_north,syp-n-mobo-c,34.52711299,-119.9789239,north
hpwren_missing4_east,syp-e-mobo-c,34.52711299,-119.9789239,east
hpwren_missing4_south,syp-s-mobo-c,34.52711299,-119.9789239,south
hpwren_missing4_west,syp-w-mobo-c,34.52711299,-119.9789239,west
hpwren_missing5_north,stgo-n-mobo-c,33.71117247,-117.534115,north
hpwren_missing5_east,stgo-e-mobo-c,33.71117247,-117.534115,east
hpwren_missing5_south,stgo-s-mobo-c,33.71117247,-117.534115,south
hpwren_missing5_west,stgo-w-mobo-c,33.71117247,-117.534115,west
hpwren_missing6_north,ws-n-mobo-c,32.647266,-116.318014,north
hpwren_missing6_east,ws-e-mobo-c,32.647266,-116.318014,east
hpwren_missing6_south,ws-s-mobo-c,32.647266,-116.318014,south
hpwren_missing6_west,ws-w-mobo-c,32.647266,-116.318014,west
hpwren_missing7_north,smer-tcs9-n-mobo-c,33.71,-117.53,north
hpwren_missing7_east,smer-tcs9-e-mobo-c,33.71,-117.53,east
hpwren_missing7_south,smer-tcs9-s-mobo-c,33.71,-117.53,south
hpwren_missing7_west,smer-tcs9-w-mobo-c,33.71,-117.53,west
hpwren_missing8_west,smer-tcs3-mobo-c,33.45,-117.18,east
hpwren_missing9_west,smer-tcs8-mobo-c,33.46,-117.15,west
hpwren_missing10_west,smer-tcs10-mobo-c,33.46,-117.14,southeast
hpwren8_north,om-n-mobo,33.363018,-116.83622,north
hpwren8_east,om-e-mobo,33.363018,-116.83622,east
hpwren8_south,om-s-mobo,33.363018,-116.83622,south
hpwren8_west,om-w-mobo,33.363018,-116.83622,west
hpwren11_north,pi-n-mobo,32.73451582,-116.5776585,north
hpwren11_east,pi-e-mobo,32.73451582,-116.5776585,east
hpwren11_south,pi-s-mobo,32.73451582,-116.5776585,south
hpwren11_west,pi-w-mobo,32.73451582,-116.5776585,west
hpwren12_north,lp-n-mobo,32.70151745,-116.7645606,north
hpwren12_east,lp-e-mobo,32.70151745,-116.7645606,east
hpwren12_south,lp-s-mobo,32.70151745,-116.7645606,south
hpwren12_west,lp-w-mobo,32.70151745,-116.7645606,west
hpwren14_north,lo-n-mobo-c,32.892296,-116.420721,north
hpwren14_east,lo-e-mobo-c,32.892296,-116.420721,east
hpwren14_south,lo-s-mobo-c,32.892296,-116.420721,south
hpwren14_west,lo-w-mobo-c,32.892296,-116.420721,west
hpwren19_north,wc-n-mobo-c,33.00873795,-116.9709795,north
hpwren19_east,wc-e-mobo-c,33.00873795,-116.9709795,east
hpwren19_south,wc-s-mobo-c,33.00873795,-116.9709795,south
hpwren19_west,wc-w-mobo-c,33.00873795,-116.9709795,west
hpwren20_north,om-n-mobo,32.59476209,-116.8446941,north
hpwren20_east,om-e-mobo,32.59476209,-116.8446941,east
hpwren20_south,om-s-mobo,32.59476209,-116.8446941,south
hpwren20_west,om-w-mobo,32.59476209,-116.8446941,west
hpwren27_north,so-n-mobo-c,33.37865603,-116.6222928,north
hpwren27_east,so-e-mobo-c,33.37865603,-116.6222928,east
hpwren27_south,so-s-mobo-c,33.37865603,-116.6222928,south
hpwren27_west,so-w-mobo-c,33.37865603,-116.6222928,west
hpwren_missing5_north,sp-n-mobo-c,33.71117247,-117.534115,north
hpwren_missing5_east,sp-e-mobo-c,33.71117247,-117.534115,east
hpwren_missing5_south,sp-s-mobo-c,33.71117247,-117.534115,south
hpwren_missing5_west,sp-w-mobo-c,33.71117247,-117.534115,west
hpwren_missing7_west,smer-tcs9-mobo-c,33.71,-117.53,west
