camera_id,direction,camera_name,image_id,long,lat,elevation,geometry.type,geometry.coordinates,x_resolution,y_resolution,center_lat,center_long,properties.description.url
hpwren7_south,south,Green Peak,dwpgm-s-mobo-c,-118.5487598,34.08640497,1760.0,Point,"[-118.5488, 34.0864, 1760]",3072.0,2048.0,34.06478884,-118.5513961,http://hpwren.ucsd.edu/cameras/dwpgm.html
hpwren7_west,west,Green Peak,dwpgm-w-mobo-c,-118.5487598,34.08640497,1760.0,Point,"[-118.5488, 34.0864, 1760]",3072.0,2048.0,34.08785719,-118.5711822,http://hpwren.ucsd.edu/cameras/dwpgm.html
hpwren8_north,north,High Point,hp-n-mobo-c,-116.83622,33.363018,6180.0,Point,"[-116.84, 33.36, 6180]",2048.0,1536.0,33.37379901,-116.8351765,http://hpwren.ucsd.edu/cameras/HighPoint.html
hpwren8_east,east,High Point,hp-e-mobo-c,-116.83622,33.363018,6180.0,Point,"[-116.84, 33.36, 6180]",2048.0,1536.0,33.3635489,-116.8248742,http://hpwren.ucsd.edu/cameras/HighPoint.html
hpwren8_south,south,High Point,hp-s-mobo-c,-116.83622,33.363018,6180.0,Point,"[-116.84, 33.36, 6180]",2048.0,1536.0,33.32595408,-116.8370067,http://hpwren.ucsd.edu/cameras/HighPoint.html
hpwren8_west,west,High Point,hp-w-mobo-c,-116.83622,33.363018,6180.0,Point,"[-116.84, 33.36, 6180]",2048.0,1536.0,33.36309629,-116.8375149,http://hpwren.ucsd.edu/cameras/HighPoint.html
hpwren9_north,north,L.A.Co.F.D Helibase 69 Bravo,69bravo-n-mobo-c,-118.6278559,34.07463206,2480.0,Point,"[-118.63, 34.07, 2480]",3072.0,2048.0,34.07533903,-118.6277847,http://hpwren.ucsd.edu/cameras/69bravo.html
hpwren9_east,east,L.A.Co.F.D Helibase 69 Bravo,69bravo-e-mobo-c,-118.6278559,34.07463206,2480.0,Point,"[-118.63, 34.07, 2480]",3072.0,2048.0,34.07441106,-118.6258859,http://hpwren.ucsd.edu/cameras/69bravo.html
hpwren9_south,south,L.A.Co.F.D Helibase 69 Bravo,69bravo-s-mobo-c,-118.6278559,34.07463206,2480.0,Point,"[-118.63, 34.07, 2480]",3072.0,2048.0,34.07342081,-118.6279447,http://hpwren.ucsd.edu/cameras/69bravo.html
hpwren9_west,west,L.A.Co.F.D Helibase 69 Bravo,69bravo-w-mobo-c,-118.6278559,34.07463206,2480.0,Point,"[-118.63, 34.07, 2480]",3072.0,2048.0,34.07480804,-118.6296654,http://hpwren.ucsd.edu/cameras/69bravo.html
