camera_id,image_id,stid,shortname,distance_m,distance_mi,is_in_direction,rn
hpwren6_east,cp-e-mobo-c,LCMSD,SDGE,5742.383131181784,3.56815145250598,True,1
hpwren6_east,cp-e-mobo-c,LFRSD,SDGE,7512.779131623434,4.668224526032616,True,2
hpwren6_east,cp-e-mobo-c,GTYSD,SDGE,10550.690150745708,6.555894917895557,True,3
hpwren6_south,cp-s-mobo-c,BOCSD,SDGE,2889.935837334863,1.795722876734162,True,1
hpwren6_south,cp-s-mobo-c,SHVSD,SDGE,3763.2062922128407,2.3383479804273297,True,2
hpwren6_south,cp-s-mobo-c,LFRSD,SDGE,7512.779131623434,4.668224526032616,True,3
hpwren6_west,cp-w-mobo-c,BOCSD,SDGE,2889.935837334863,1.795722876734162,True,1
hpwren6_west,cp-w-mobo-c,SILSD,SDGE,3489.3179807406063,2.1681616737879574,True,2
hpwren6_west,cp-w-mobo-c,SHVSD,SDGE,3763.2062922128407,2.3383479804273297,True,3
hpwren7_north,dwpgm-n-mobo-c,SE031,SC-EDISON,4828.07579699629,3.000027214191801,True,1
hpwren7_north,dwpgm-n-mobo-c,SE030,SC-EDISON,5430.694115800764,3.3744768774113947,True,2
hpwren7_north,dwpgm-n-mobo-c,SE220,SC-EDISON,6400.078418210534,3.9768243571359103,True,3
hpwren7_east,dwpgm-e-mobo-c,SE428,SC-EDISON,18043.389950329718,11.211642725439507,True,1
hpwren7_east,dwpgm-e-mobo-c,SE675,SC-EDISON,26726.414057204096,16.60702376695355,True,2
hpwren7_east,dwpgm-e-mobo-c,SE591,SC-EDISON,27415.04975076755,17.03492214888026,True,3
hpwren7_south,dwpgm-s-mobo-c,HP026,HPWREN,3.75054946399765,0.002330483391989314,True,1
hpwren7_south,dwpgm-s-mobo-c,SE007,SC-EDISON,4186.734950464714,2.6015164877519745,True,2
hpwren7_south,dwpgm-s-mobo-c,SE208,SC-EDISON,5893.829197338538,3.6622556751934563,True,3
hpwren7_west,dwpgm-w-mobo-c,HP026,HPWREN,3.75054946399765,0.002330483391989314,True,1
hpwren7_west,dwpgm-w-mobo-c,SE007,SC-EDISON,4186.734950464714,2.6015164877519745,True,2
hpwren7_west,dwpgm-w-mobo-c,SE031,SC-EDISON,4828.07579699629,3.000027214191801,True,3
hpwren8_north,hp-n-mobo-c,OGVSD,SDGE,5494.4051039482065,3.4140650500751897,True,1
hpwren8_north,hp-n-mobo-c,SE076,SC-EDISON,9425.154847245249,5.856519704454267,True,2
hpwren8_north,hp-n-mobo-c,SE194,SC-EDISON,15336.503955708733,9.529661747711323,True,3
hpwren8_east,hp-e-mobo-c,OGVSD,SDGE,5494.4051039482065,3.4140650500751897,True,1
hpwren8_east,hp-e-mobo-c,SSSSD,SDGE,9961.617449408846,6.189862111151404,True,2
hpwren8_east,hp-e-mobo-c,CHHSD,SDGE,16538.405566402645,10.276488784500172,True,3
hpwren8_south,hp-s-mobo-c,PAMSD,SDGE,2758.5814375236123,1.7141030367178256,True,1
hpwren8_south,hp-s-mobo-c,CLNSD,SDGE,6346.460440445165,3.9435076903664874,True,2
hpwren8_south,hp-s-mobo-c,HP014,HPWREN,8398.201352956385,5.218400387335699,True,3
hpwren8_west,hp-w-mobo-c,PAMSD,SDGE,2758.5814375236123,1.7141030367178256,True,1
hpwren8_west,hp-w-mobo-c,CLNSD,SDGE,6346.460440445165,3.9435076903664874,True,2
hpwren8_west,hp-w-mobo-c,HP014,HPWREN,8398.201352956385,5.218400387335699,True,3
hpwren9_north,69bravo-n-mobo-c,SE003,SC-EDISON,2885.817100009354,1.7931636120116978,True,1
hpwren9_north,69bravo-n-mobo-c,SE867,SC-EDISON,3082.7489263563975,1.915531375738436,True,2
hpwren9_north,69bravo-n-mobo-c,SE007,SC-EDISON,3347.2671900937385,2.079895404645457,True,3
hpwren9_east,69bravo-e-mobo-c,SE299,SC-EDISON,1468.6692370359967,0.9125887548193529,True,1
hpwren9_east,69bravo-e-mobo-c,SE007,SC-EDISON,3347.2671900937385,2.079895404645457,True,2
hpwren9_east,69bravo-e-mobo-c,SE030,SC-EDISON,3590.93152880831,2.2313014052982516,True,3
hpwren9_south,69bravo-s-mobo-c,SE299,SC-EDISON,1468.6692370359967,0.9125887548193529,True,1
hpwren9_south,69bravo-s-mobo-c,SE473,SC-EDISON,2321.1813265365795,1.4423152082690707,True,2
hpwren9_south,69bravo-s-mobo-c,SE734,SC-EDISON,5606.316203974891,3.4836033837233624,True,3
hpwren9_west,69bravo-w-mobo-c,SE473,SC-EDISON,2321.1813265365795,1.4423152082690707,True,1
hpwren9_west,69bravo-w-mobo-c,SE003,SC-EDISON,2885.817100009354,1.7931636120116978,True,2
hpwren9_west,69bravo-w-mobo-c,SE867,SC-EDISON,3082.7489263563975,1.915531375738436,True,3
hpwren11_north,pi-n-mobo-c,CTMSD,SDGE,5962.80402675254,3.705114647180802,True,1
hpwren11_north,pi-n-mobo-c,BMSSD,SDGE,8885.12869519542,5.520963010515726,True,2
hpwren11_north,pi-n-mobo-c,JVRSD,SDGE,9618.451581305957,5.976628726553153,True,3
hpwren11_east,pi-e-mobo-c,CTMSD,SDGE,5962.80402675254,3.705114647180802,True,1
hpwren11_east,pi-e-mobo-c,MORSD,SDGE,7978.460673594126,4.957585620969865,True,2
hpwren11_east,pi-e-mobo-c,BMSSD,SDGE,8885.12869519542,5.520963010515726,True,3
hpwren11_south,pi-s-mobo-c,MORSD,SDGE,7978.460673594126,4.957585620969865,True,1
hpwren11_south,pi-s-mobo-c,RPOSD,SDGE,10839.624757592423,6.735430559030526,True,2
hpwren11_south,pi-s-mobo-c,NPTSD,SDGE,11614.338945475003,7.216815637598303,True,3
hpwren11_west,pi-w-mobo-c,JVRSD,SDGE,9618.451581305957,5.976628726553153,True,1
hpwren11_west,pi-w-mobo-c,RPOSD,SDGE,10839.624757592423,6.735430559030526,True,2
hpwren11_west,pi-w-mobo-c,NPTSD,SDGE,11614.338945475003,7.216815637598303,True,3
hpwren12_north,lp-n-mobo-c,WCVSD,SDGE,3470.4163136816164,2.1564167223922395,True,1
hpwren12_north,lp-n-mobo-c,LCKSD,SDGE,5542.150070089515,3.4437323966097457,True,2
hpwren12_north,lp-n-mobo-c,SVLSD,SDGE,6214.459430390875,3.8614860653725214,True,3
hpwren12_east,lp-e-mobo-c,DHVSD,SDGE,1628.1924440438393,1.011711880147339,True,1
hpwren12_east,lp-e-mobo-c,WCVSD,SDGE,3470.4163136816164,2.1564167223922395,True,2
hpwren12_east,lp-e-mobo-c,LCKSD,SDGE,5542.150070089515,3.4437323966097457,True,3
hpwren12_south,lp-s-mobo-c,HP002,HPWREN,4.174014965430971,0.002593612655486317,True,1
hpwren12_south,lp-s-mobo-c,DHVSD,SDGE,1628.1924440438393,1.011711880147339,True,2
