,Unnamed: 0,Unnamed: 0.1,camera_id,camera_name,hpweren_camera_description,cam_lat,cam_long,station,dir,center_lat,center_long,elevation,x_resolution,y_resolution,cl_angle,center_angle
34,34,34,hpwren8_south,hp-s-mobo-c,High Point,33.363018,-116.83622,hp,s,33.32595408,-116.8370067,6180,2048,1536,-0.0212223070348462,-0.021222307034846247
35,35,35,hpwren8_west,hp-w-mobo-c,High Point,33.363018,-116.83622,hp,w,33.36309629,-116.8375149,6180,2048,1536,-0.0603867586569035,-0.060386758656903586
36,36,36,hpwren9_north,69bravo-n-mobo-c,L.A.Co.F.D Helibase 69 Bravo,34.07463206,-118.6278559,69bravo,n,34.07533903,-118.6277847,2480,3072,2048,-0.1003730453689625,-0.10037304536896258
37,37,37,hpwren9_east,69bravo-e-mobo-c,L.A.Co.F.D Helibase 69 Bravo,34.07463206,-118.6278559,69bravo,e,34.07441106,-118.6258859,2480,3072,2048,-0.1117156576326489,-0.1117156576326489
38,38,38,hpwren9_south,69bravo-s-mobo-c,L.A.Co.F.D Helibase 69 Bravo,34.07463206,-118.6278559,69bravo,s,34.07342081,-118.6279447,2480,3072,2048,-0.0731817696252764,-0.07318176962527644
39,39,39,hpwren9_west,69bravo-w-mobo-c,L.A.Co.F.D Helibase 69 Bravo,34.07463206,-118.6278559,69bravo,w,34.07480804,-118.6296654,2480,3072,2048,-0.0969484985970475,-0.09694849859704756
40,40,40,hpwren11_north,pi-n-mobo-c,Los Pinos,32.73451582,-116.5776585,pi,n,32.73496385,-116.5776905,4800,3072,2048,0.071302706228827,0.07130270622882706
41,41,41,hpwren11_east,pi-e-mobo-c,Los Pinos,32.73451582,-116.5776585,pi,e,32.7345954,-116.5755122,4800,3072,2048,0.0370607847202403,0.03706078472024032
42,42,42,hpwren11_south,pi-s-mobo-c,Los Pinos,32.73451582,-116.5776585,pi,s,32.73237726,-116.5775055,4800,3072,2048,0.0714217776899512,0.07142177768995125
43,43,43,hpwren11_west,pi-w-mobo-c,Los Pinos,32.73451582,-116.5776585,pi,w,32.73446656,-116.5809434,4800,3072,2048,0.0149947663611204,0.014994766361120413
44,44,44,hpwren12_north,lp-n-mobo-c,Lyons Peak,32.70151745,-116.7645606,lp,n,32.70274532,-116.7645596,3700,3072,2048,-0.0008144182824521,-0.0008144182824521172
45,45,45,hpwren12_east,lp-e-mobo-c,Lyons Peak,32.70151745,-116.7645606,lp,e,32.70151604,-116.754257,3700,3072,2048,-0.0001368453743353,-0.00013684537433533486
46,46,46,hpwren12_south,lp-s-mobo-c,Lyons Peak,32.70151745,-116.7645606,lp,s,32.69084469,-116.7645718,3700,3072,2048,-0.0010494001449612,-0.001049400144961277
47,47,47,hpwren12_west,lp-w-mobo-c,Lyons Peak,32.70151745,-116.7645606,lp,w,32.70141466,-116.8132546,3700,3072,2048,0.0021109345569939,0.0021109345569939302
48,48,48,hpwren13_north,mg-n-mobo-c,Mesa Grande,33.18885764,-116.7606591,mg,n,33.22111909,-116.7611976,4280,3072,2048,0.0166901982727944,0.016690198272794488
49,49,49,hpwren13_east,mg-e-mobo-c,Mesa Grande,33.18885764,-116.7606591,mg,e,33.18869557,-116.7469994,4280,3072,2048,-0.0118642719499718,-0.011864271949971816
50,50,50,hpwren13_south,mg-s-mobo-c,Mesa Grande,33.18885764,-116.7606591,mg,s,33.16766299,-116.7608921,4280,3072,2048,-0.0109928974716664,-0.010992897471666463
