camera_id,lat,lat_decimals,long,camera_name,hpweren_camera_description,cam_lat,cam_long,station,dir,c_lat,c_long,certainty
hpwren20_north,32.5948,4,-116.8447,om-n-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,n,32.60237051,-116.844502,
hpwren20_east,32.5948,4,-116.8447,om-e-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,e,32.59481057,-116.836819,
hpwren20_south,32.5948,4,-116.8447,om-s-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,s,32.59424175,-116.8446861,
hpwren20_west,32.5948,4,-116.8447,om-w-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,w,32.59483593,-116.8517775,
hpwren21_north,33.4008,4,-117.1905,rm-n-mobo-c,Red Mountain,33.4008,-117.1905,rm,n,33.41066605,-117.1908729,
hpwren21_east,33.4008,4,-117.1905,rm-e-mobo-c,Red Mountain,33.4008,-117.1905,rm,e,33.40076747,-117.1862292,
hpwren21_south,33.4008,4,-117.1905,rm-s-mobo-c,Red Mountain,33.4008,-117.1905,rm,s,33.39112605,-117.1903989,
hpwren21_west,33.4008,4,-117.1905,rm-w-mobo-c,Red Mountain,33.4008,-117.1905,rm,w,33.40058484,-117.2004684,
hpwren22_north,33.4314,4,-117.5974,sclm-n-mobo-c,San Clemente,33.4314,-117.5974,sclm,n,33.44314201,-117.5928409,
hpwren22_east,33.4314,4,-117.5974,sclm-e-mobo-c,San Clemente,33.4314,-117.5974,sclm,e,33.43119726,-117.5858301,
hpwren22_south,33.4314,4,-117.5974,sclm-s-mobo-c,San Clemente,33.4314,-117.5974,sclm,s,33.42991998,-117.5974459,
hpwren22_west,33.4314,4,-117.5974,sclm-w-mobo-c,San Clemente,33.4314,-117.5974,sclm,w,33.43994077,-117.6351622,
hpwren23_east,32.88,2,-117.24,sdsc-e-mobo-c,San Diego Supercomputer Center,32.88448394,-117.2397484,sdsc,e,0,0,
hpwren24_north,33.5029,4,-117.6031,sjh-n-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,n,33.50959831,-117.6028375,
hpwren24_east,33.5029,4,-117.6031,sjh-e-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,e,33.50292756,-117.5999521,
hpwren24_south,33.5029,4,-117.6031,sjh-s-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,s,33.50186448,-117.6031684,
hpwren24_west,33.5029,4,-117.6031,sjh-w-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,w,33.50309263,-117.6246855,
hpwren25_north,33.13,2,-116.61,vo-n-mobo-c,Santa Ysabel,33.138256,-116.617058,vo,n,0,0,
hpwren25_east,33.13,2,-116.61,vo-e-mobo-c,Santa Ysabel,33.138256,-116.617058,vo,e,0,0,
hpwren25_south,33.13,2,-116.61,vo-s-mobo-c,Santa Ysabel,33.138256,-116.617058,vo,s,0,0,
hpwren25_west,33.13,2,-116.61,vo-w-mobo-c,Santa Ysabel,33.138256,-116.617058,vo,w,0,0,
hpwren26_north,33.6052,4,-117.8109,signal-n-mobo-c,Signal Peak,33.60523424,-117.810884,signal,n,33.60613199,-117.8109116,
hpwren26_east,33.6052,4,-117.8109,signal-e-mobo-c,Signal Peak,33.60523424,-117.810884,signal,e,33.60532268,-117.8085619,
hpwren26_south,33.6052,4,-117.8109,signal-s-mobo-c,Signal Peak,33.60523424,-117.810884,signal,s,33.60423073,-117.810847,
hpwren26_west,33.6052,4,-117.8109,signal-w-mobo-c,Signal Peak,33.60523424,-117.810884,signal,w,33.60523689,-117.8145783,
hpwren27_north,33.3787,4,-116.6223,sojr-n-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,n,33.38598819,-116.6225236,unsure
hpwren27_east,33.3787,4,-116.6223,sojr-e-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,e,0,0,
hpwren27_south,33.3787,4,-116.6223,sojr-s-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,s,33.37452052,-116.6221394,
hpwren27_west,33.3787,4,-116.6223,sojr-w-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,w,33.37855199,-116.6258053,
hpwren28_north,33.5235,4,-116.4257,tp-n-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,n,33.77724869,-116.4184919,
hpwren28_east,33.5235,4,-116.4257,tp-e-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,e,33.52623974,-116.1473642,
hpwren28_south,33.5235,4,-116.4257,tp-s-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,s,33.27637745,-116.3898008,
hpwren28_west,33.5235,4,-116.4257,tp-w-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,w,33.50062934,-116.6702284,
hpwren29_north,33.6124,4,-117.5486,starr-n-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,n,33.61537688,-117.5489481,
hpwren29_east,33.6124,4,-117.5486,starr-e-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,e,33.61412883,-117.5155022,unsure
hpwren29_south,33.6124,4,-117.5486,starr-s-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,s,33.59300023,-117.5467179,
hpwren29_west,33.6124,4,-117.5486,starr-w-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,w,33.61068023,-117.5713795,
hpwren30_north,33.5191,4,-117.481,marconi-n-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,n,33.5244452,-117.4811579,
hpwren30_east,33.5191,4,-117.481,marconi-e-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,e,33.51918603,-117.4783761,
hpwren30_south,33.5191,4,-117.481,marconi-s-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,s,33.51453296,-117.480751,
hpwren30_west,33.5191,4,-117.481,marconi-w-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,w,33.51797356,-117.5290868,
