camera_id,camera_name,hpweren_camera_description,cam_lat,cam_long,station,dir,c_lat,c_long,elevation,x_resolution,y_resolution,certainty,cl_angle
hpwren11_south,pi-s-mobo-c,Los Pinos,32.73451582,-116.5776585,pi,s,32.73237726,-116.5775055,4800,3072,2048,,0.071421778
hpwren11_west,pi-w-mobo-c,Los Pinos,32.73451582,-116.5776585,pi,w,32.73446656,-116.5809434,4800,3072,2048,,0.014994766
hpwren12_north,lp-n-mobo-c,Lyons Peak,32.70151745,-116.7645606,lp,n,32.70274532,-116.7645596,3700,3072,2048,,-0.032430087
hpwren12_east,lp-e-mobo-c,Lyons Peak,32.70151745,-116.7645606,lp,e,32.70151604,-116.754257,3700,3072,2048,,0.001550806
hpwren12_south,lp-s-mobo-c,Lyons Peak,32.70151745,-116.7645606,lp,s,32.69084469,-116.7645718,3700,3072,2048,,0.002646562
hpwren12_west,lp-w-mobo-c,Lyons Peak,32.70151745,-116.7645606,lp,w,32.70141466,-116.8132546,3700,3072,2048,,
hpwren13_north,mg-n-mobo-c,Mesa Grande,33.18885764,-116.7606591,mg,n,33.22111909,-116.7611976,4280,3072,2048,,0.016690198
hpwren13_east,mg-e-mobo-c,Mesa Grande,33.18885764,-116.7606591,mg,e,33.18869557,-116.7469994,4280,3072,2048,,-0.011864272
hpwren13_south,mg-s-mobo-c,Mesa Grande,33.18885764,-116.7606591,mg,s,33.16766299,-116.7608921,4280,3072,2048,,-0.010992897
hpwren13_west,mg-w-mobo-c,Mesa Grande,33.18885764,-116.7606591,mg,w,33.18950737,-116.7939862,4280,3072,2048,,-0.019493076
hpwren14_north,ml-n-mobo-c,Mt. Laguna,32.892296,-116.420721,ml,n,32.97931,-116.433837,6300,2048,1536,,0.149608075
hpwren14_east,ml-e-mobo-c,Mt. Laguna,32.892296,-116.420721,ml,e,32.89248153,-116.4178248,6300,2048,1536,,0.063972391
hpwren14_south,ml-s-mobo-c,Mt. Laguna,32.892296,-116.420721,ml,s,32.8913446,-116.4206457,6300,2048,1536,,0.078981877
hpwren14_west,ml-w-mobo-c,Mt. Laguna,32.892296,-116.420721,ml,w,32.89039892,-116.4305431,6300,2048,1536,,
hpwren15_north,mlo-n-mobo-c,Mt. Laguna Observatory,32.83967399,-116.4265161,mlo,n,32.84250673,-116.4266465,6180,3072,2048,,
hpwren15_east,mlo-e-mobo-c,Mt. Laguna Observatory,32.83967399,-116.4265161,mlo,e,32.83965734,-116.4261181,6180,3072,2048,,-0.111243468
hpwren15_south,mlo-s-mobo-c,Mt. Laguna Observatory,32.83967399,-116.4265161,mlo,s,32.83663733,-116.4264453,6180,3072,2048,,0.017858334
hpwren15_west,mlo-w-mobo-c,Mt. Laguna Observatory,32.83967399,-116.4265161,mlo,w,32.8395472,-116.4293802,6180,3072,2048,,0.053002184
hpwren16_north,sm-n-mobo-c,Mt. San Miguel,32.69688501,-116.936262,sm,n,32.73789307,-116.9387885,2550,3072,2048,,0.061532064
hpwren16_east,sm-e-mobo-c,Mt. San Miguel,32.69688501,-116.936262,sm,e,32.69835888,-116.9061565,2550,3072,2048,,0.048917778
hpwren16_south,sm-s-mobo-c,Mt. San Miguel,32.69688501,-116.936262,sm,s,32.61370029,-116.933834,2550,3072,2048,,0.029179768
hpwren16_west,sm-w-mobo-c,Mt. San Miguel,32.69688501,-116.936262,sm,w,32.69764572,-116.9976528,2550,3072,2048,,-0.012390636
hpwren17_north,ms-n-mobo-c,Mt. Soledad,32.83992291,-117.2485966,ms,n,32.85520812,-117.2485092,730,2048,1536,,
hpwren18_north,wilson-n-mobo-c.html,Mt. Wilson Observatory,34.22449951,-118.0586478,wilson,n,34.22632707,-118.0587202,5700,3072,2048,,0.039594958
hpwren18_east,wilson-e-mobo-c.html,Mt. Wilson Observatory,34.22449951,-118.0586478,wilson,e,34.22459585,-118.0564518,5700,3072,2048,,0.043842561
hpwren18_south,wilson-s-mobo-c.html,Mt. Wilson Observatory,34.22449951,-118.0586478,wilson,s,34.22338887,-118.0588145,5700,3072,2048,,-0.148981526
hpwren18_west,wilson-w-mobo-c.html,Mt. Wilson Observatory,34.22449951,-118.0586478,wilson,w,34.22465731,-118.0648176,5700,3072,2048,,-0.025570619
hpwren19_north,wc-n-mobo-c-deg,Mt. Woodson,33.00873795,-116.9709795,wc,n,33.01771275,-116.9695941,2800,3072,2048,,-0.153156682
hpwren19_east,wc-e-mobo-c-deg,Mt. Woodson,33.00873795,-116.9709795,wc,e,33.00711327,-116.9584223,2800,3072,2048,,-0.128667567
hpwren19_south,wc-s-mobo-c-deg,Mt. Woodson,33.00873795,-116.9709795,wc,s,32.95474176,-116.9944478,2800,3072,2048,,
hpwren19_west,wc-w-mobo-c-deg,Mt. Woodson,33.00873795,-116.9709795,wc,w,33.00904878,-116.9734538,2800,3072,2048,,-0.124968765
hpwren20_north,om-n-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,n,32.60237051,-116.844502,3565,3072,2048,,-0.02524298
hpwren20_east,om-e-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,e,32.59481057,-116.836819,3565,3072,2048,,0.006156035
hpwren20_south,om-s-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,s,32.59424175,-116.8446861,3565,3072,2048,,0.015373352
hpwren20_west,om-w-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,w,32.59483593,-116.8517775,3565,3072,2048,,-0.010423995
hpwren21_north,rm-n-mobo-c,Red Mountain,33.4008,-117.1905,rm,n,33.41066605,-117.1908729,1600,3072,2048,,0.037778299
hpwren21_east,rm-e-mobo-c,Red Mountain,33.4008,-117.1905,rm,e,33.40076747,-117.1862292,1600,3072,2048,,-0.007616693
hpwren21_south,rm-s-mobo-c,Red Mountain,33.4008,-117.1905,rm,s,33.39112605,-117.1903989,1600,3072,2048,,0.010450366
hpwren21_west,rm-w-mobo-c,Red Mountain,33.4008,-117.1905,rm,w,33.40058484,-117.2004684,1600,3072,2048,,0.021580855
na,rdd-n-mobo-c,Rincon Del Diablo,33.09383414,-117.1210542,rdd,n,33.12258198,-117.1211227,950,3072,2048,,
na,rdd-e-mobo-c,Rincon Del Diablo,33.09383414,-117.1210542,rdd,e,33.04397844,-117.1205586,950,3072,2048,,
na,rdd-s-mobo-c,Rincon Del Diablo,33.09383414,-117.1210542,rdd,s,33.09371602,-117.118194,950,3072,2048,,
na,rdd-w-mobo-c,Rincon Del Diablo,33.09383414,-117.1210542,rdd,w,33.09380149,-117.1217033,950,3072,2048,,
hpwren22_north,sclm-n-mobo-c,San Clemente,33.43141853,-117.5973412,sclm,n,33.47843101,-117.5790061,870,3072,2048,,-0.371860372
hpwren22_east,sclm-e-mobo-c,San Clemente,33.43141853,-117.5973412,sclm,e,33.43119726,-117.5858301,870,3072,2048,,-0.019219949
