name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,incident,incident_dist,incident_latitude,incident_longitude,x_pixel,y_pixel,,Miles
Toro Peak,33.5235,-116.4257,8800,tp,s,"[-116.4257, 33.072683110213006]","[-116.0465041676762, 33.20414675463602]","[-116.80489583232381, 33.204146754636014]",2,20170826,Montezuma Fire,35.11363063,33.20988,-116.46989,,,1,21.81859178
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20170901,Border Fire,7.02541065,32.6001,-116.76997,,,1,4.365386441
Boucher Hill,33.3346,-116.9198,5500,bh,n,"[-116.9198, 33.785397823642114]","[-117.30095166269716, 33.6527813298777]","[-116.53864833730283, 33.652781329877705]",4,20171207,Lilac Fire,22.62736296,33.3237,-117.163,,,1,14.05998715
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20171207,Lilac Fire,22.62736296,33.3237,-117.163,,,1,14.05998715
Red Mountain,33.4008,-117.1905,1600,rm,s,"[-117.1905, 32.94997420337428]","[-116.81183156739415, 33.081443131239055]","[-117.56916843260585, 33.081443131239055]",1,20171207,Lilac Fire,8.945471046,33.3237,-117.163,,,1,5.558456289
Red Mountain,33.4008,-117.1905,1600,rm,n,"[-117.1905, 33.851592992948994]","[-117.57194393813225, 33.71897645296838]","[-116.80905606186775, 33.71897645296838]",6,20180504,Alpha Fire,28.98367483,33.389425,-117.502405,,,1,18.00961501
Boucher Hill,33.3346,-116.9198,5500,bh,n,"[-116.9198, 33.785397823642114]","[-117.30095166269716, 33.6527813298777]","[-116.53864833730283, 33.652781329877705]",4,20180504,Alpha Fire,54.44969715,33.389425,-117.502405,,,1,33.83346277
Red Mountain,33.4008,-117.1905,1600,rm,e,"[-116.65303446254079, 33.4008]","[-116.80905606186775, 33.71897645296838]","[-116.81183156739415, 33.081443131239055]",5,20180522,Agua Fire,15.62978415,33.35505,-117.03134,,,1,9.711894607
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20180603,Adobe Fire,69.93559041,32.78031,-117.06782,1840,780,1,43.45594775
Mt. San Miguel,32.7,-116.94,2550,sm,n,"[-116.94, 33.150843889404484]","[-117.31839797267894, 33.01822779754]","[-116.56160202732104, 33.01822779754]",7,20180603,Green Fire,5.834081184,32.75072,-116.92404,,,1,3.625128859
Boucher Hill,33.3346,-116.9198,5500,bh,n,"[-116.9198, 33.785397823642114]","[-117.30095166269716, 33.6527813298777]","[-116.53864833730283, 33.652781329877705]",4,20170807,None,0,0,0,,,0,
Mt. San Miguel,32.7,-116.94,2550,sm,w,"[-117.47322532501433, 32.7]","[-117.31571696748713, 32.38062252484705]","[-117.31839797267894, 33.01822779754]",3,20180603,Green Fire,5.834081184,32.75072,-116.92404,,,1,3.625128859
Black Mountain,32.98,-117.12,1600,bl,s,"[-117.12, 32.52914378468391]","[-116.74311609844423, 32.660630738922485]","[-117.49688390155578, 32.660630738922485]",4,20180603,Adobe Fire,22.73290544,32.78031,-117.06782,,,1,14.12556819
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20180605,Vista Fire,3.722208581,33.40769,-117.22974,1355,900,1,2.312872468
Mt. Laguna,32.8922,-116.4209,6300,ml,s,"[-116.4209, 32.44133746309627]","[-116.04438376418457, 32.57282816036067]","[-116.79741623581543, 32.57282816036067]",4,20180606,Recycle Fire,29.418149,32.63046,-116.46674,,,1,18.27958466
