camera_id,image_id,camera_name,direction,gmap_lat,gmap_long,elevation,x_resolution,y_resolution
hpwren25_north,,,,33.13826401,-116.6170953,,3072,2048
hpwren25_east,,,,33.13826401,-116.6170953,,3072,2048
hpwren25_south,,,,33.13826401,-116.6170953,,3072,2048
hpwren25_west,,,,33.13826401,-116.6170953,,3072,2048
,syp-n-mobo-c,Santa Ynez Peak,north,34.52711299,-119.9789239,4297,3072,2048
,syp-e-mobo-c,Santa Ynez Peak,east,34.52711299,-119.9789239,4297,3072,2048
,syp-s-mobo-c,Santa Ynez Peak,south,34.52711299,-119.9789239,4297,3072,2048
,syp-w-mobo-c,Santa Ynez Peak,west,34.52711299,-119.9789239,4297,3072,2048
,stgo-n-mobo-c,Santiago Peak,north,33.71117247,-117.534115,5669,3072,2048
,stgo-e-mobo-c,Santiago Peak,east,33.71117247,-117.534115,5669,3072,2048
,stgo-s-mobo-c,Santiago Peak,south,33.71117247,-117.534115,5669,3072,2048
,stgo-w-mobo-c,Santiago Peak,west,33.71117247,-117.534115,5669,3072,2048
hpwren26_north,,,,33.60523424,-117.810884,,3072,2048
hpwren26_east,,,,33.60523424,-117.810884,,3072,2048
hpwren26_south,,,,33.60523424,-117.810884,,3072,2048
hpwren26_west,,,,33.60523424,-117.810884,,3072,2048
hpwren27_north,,,,33.37865603,-116.6222928,,3072,2048
hpwren27_east,,,,33.37865603,-116.6222928,,3072,2048
hpwren27_south,,,,33.37865603,-116.6222928,,3072,2048
hpwren27_west,,,,33.37865603,-116.6222928,,3072,2048
hpwren28_north,,,,33.52353103,-116.4257027,,3072,2048
hpwren28_east,,,,33.52353103,-116.4257027,,3072,2048
hpwren28_south,,,,33.52353103,-116.4257027,,3072,2048
hpwren28_west,,,,33.52353103,-116.4257027,,3072,2048
hpwren29_north,,,,33.61244314,-117.5486414,,3072,2048
hpwren29_east,,,,33.61244314,-117.5486414,,3072,2048
hpwren29_south,,,,33.61244314,-117.5486414,,3072,2048
hpwren29_west,,,,33.61244314,-117.5486414,,3072,2048
hpwren30_north,,,,33.51912725,-117.480907,,3072,2048
hpwren30_east,,,,33.51912725,-117.480907,,3072,2048
hpwren30_south,,,,33.51912725,-117.480907,,3072,2048
hpwren30_west,,,,33.51912725,-117.480907,,3072,2048
,ws-n-mobo-c,White Star,north,32.647266,-116.318014,4000,3072,2048
,ws-e-mobo-c,White Star,east,32.647266,-116.318014,4000,3072,2048
,ws-s-mobo-c,White Star,south,32.647266,-116.318014,4000,3072,2048
,ws-w-mobo-c,White Star,west,32.647266,-116.318014,4000,3072,2048
